noise_level,seed,strategy,grade,precision,recall,f1,support
0.25,123,adaptive_ordinal_harm,2,0.44,0.21782178217821782,0.2913907284768212,101
0.25,123,adaptive_ordinal_harm,3,0.3548387096774194,0.33,0.34196891191709844,100
0.25,123,adaptive_ordinal_harm,4,0.38596491228070173,0.44,0.411214953271028,100
0.25,123,adaptive_ordinal_harm,5,0.5471698113207547,0.5858585858585859,0.5658536585365853,99
0.25,123,adaptive_ordinal_harm,high_grade_4_5,0.6409090909090909,0.7085427135678392,0.6730310262529833,199
0.25,123,cross_site_blend_50,0,0.547945205479452,0.8,0.6504065040650406,100
0.25,123,cross_site_blend_50,1,0.39285714285714285,0.32673267326732675,0.3567567567567568,101
0.25,123,cross_site_blend_50,2,0.463768115942029,0.31683168316831684,0.3764705882352941,101
0.25,123,cross_site_blend_50,3,0.39285714285714285,0.44,0.41509433962264153,100
0.25,123,cross_site_blend_50,4,0.42857142857142855,0.36,0.391304347826087,100
0.25,123,cross_site_blend_50,5,0.5660377358490566,0.6060606060606061,0.5853658536585366,99
0.25,123,cross_site_blend_50,high_grade_4_5,0.6842105263157895,0.6532663316582915,0.6683804627249358,199
0.25,123,fedavg,0,0.539568345323741,0.75,0.6276150627615062,100
0.25,123,fedavg,1,0.4105263157894737,0.38613861386138615,0.3979591836734694,101
0.25,123,fedavg,2,0.3972602739726027,0.2871287128712871,0.3333333333333333,101
0.25,123,fedavg,3,0.36764705882352944,0.25,0.2976190476190476,100
0.25,123,fedavg,4,0.3888888888888889,0.35,0.3684210526315789,100
0.25,123,fedavg,5,0.4852941176470588,0.6666666666666666,0.5617021276595745,99
0.25,123,fedavg,high_grade_4_5,0.6238938053097345,0.7085427135678392,0.6635294117647059,199
0.25,123,ordinal_harm_blend_50,0,0.5748031496062992,0.73,0.6431718061674009,100
0.25,123,ordinal_harm_blend_50,1,0.40707964601769914,0.45544554455445546,0.42990654205607476,101
0.25,123,ordinal_harm_blend_50,2,0.4375,0.2079207920792079,0.28187919463087246,101
0.25,123,ordinal_harm_blend_50,3,0.3541666666666667,0.34,0.3469387755102041,100
