representation,representation_family,confounding_strength,class,mean,std,count
pca_removal_k8,pca_removal,mild,SCC,0.35072796209331897,0.10135794403291228,25
pca_removal_k8,pca_removal,mild,Subcutis,0.5258352941176471,0.20064530522997331,25
pca_removal_k8,pca_removal,moderate,Bone,0.254247619047619,0.14561524224417757,25
pca_removal_k8,pca_removal,moderate,Cartilage,0.0,0.0,5
pca_removal_k8,pca_removal,moderate,Dermis,0.11972421052631577,0.05894012041693722,25
pca_removal_k8,pca_removal,moderate,Epidermis,0.4646506668289653,0.061380437200641506,25
pca_removal_k8,pca_removal,moderate,Inflamm/Necrosis,0.3013301587301587,0.08490042820092701,25
pca_removal_k8,pca_removal,moderate,SCC,0.3478259774338801,0.11181625153344253,25
pca_removal_k8,pca_removal,moderate,Subcutis,0.520241568627451,0.19040177398083938,25
pca_removal_k8,pca_removal,severe,Bone,0.23636825396825395,0.13160424830720158,25
pca_removal_k8,pca_removal,severe,Cartilage,0.0,0.0,5
pca_removal_k8,pca_removal,severe,Dermis,0.1713761403508772,0.08597417072181088,25
pca_removal_k8,pca_removal,severe,Epidermis,0.4404124394111056,0.06098751065767355,25
pca_removal_k8,pca_removal,severe,Inflamm/Necrosis,0.2808222222222222,0.10920477898061325,25
pca_removal_k8,pca_removal,severe,SCC,0.3425421651741732,0.10781690838107406,25
pca_removal_k8,pca_removal,severe,Subcutis,0.4730917647058823,0.16945747374162867,25
shuffled_sample_acquisition,neural_factorization,mild,Bone,0.34118603174603174,0.18173779719605027,125
shuffled_sample_acquisition,neural_factorization,mild,Cartilage,0.0,0.0,25
shuffled_sample_acquisition,neural_factorization,mild,Dermis,0.2570993216374269,0.10684499307497378,125
shuffled_sample_acquisition,neural_factorization,mild,Epidermis,0.4867955736789046,0.11313881461177626,125
shuffled_sample_acquisition,neural_factorization,mild,Inflamm/Necrosis,0.4156492063492063,0.13908368009525768,125
shuffled_sample_acquisition,neural_factorization,mild,SCC,0.26163741456307027,0.10999387059828182,125
shuffled_sample_acquisition,neural_factorization,mild,Subcutis,0.583441568627451,0.17652044066380726,125
