noise,seed,metric,clean_strategy,corrupted_strategy,chosen_strategy,clean_value,corrupted_value,switch_value,delta_corrupted_vs_clean,delta_switch_vs_clean
35,7,global_qwk,fedavg,cross_site_blend_50,cross_site_blend_50,0.6948624871033664,0.7007980493783068,0.7007980493783068,0.005935562274940409,0.005935562274940409
35,7,worst_site_qwk,fedavg,cross_site_blend_50,cross_site_blend_50,0.6527317537239579,0.6653997055429549,0.6653997055429549,0.012667951818997047,0.012667951818997047
35,7,mean_site_qwk,fedavg,cross_site_blend_50,cross_site_blend_50,0.7028301726926486,0.7034267511295542,0.7034267511295542,0.0005965784369056371,0.0005965784369056371
35,7,global_accuracy,fedavg,cross_site_blend_50,cross_site_blend_50,0.5411764705882353,0.5463529411764706,0.5463529411764706,0.005176470588235338,0.005176470588235338
35,7,macro_f1,fedavg,cross_site_blend_50,cross_site_blend_50,0.4570522102303858,0.4747038045190335,0.4747038045190335,0.01765159428864771,0.01765159428864771
35,99,global_qwk,fedavg,cross_site_blend_50,cross_site_blend_50,0.6750074821779718,0.6905468921708737,0.6905468921708737,0.015539409992901931,0.015539409992901931
35,99,worst_site_qwk,fedavg,cross_site_blend_50,cross_site_blend_50,0.6446618026571511,0.6561508595773347,0.6561508595773347,0.011489056920183538,0.011489056920183538
35,99,mean_site_qwk,fedavg,cross_site_blend_50,cross_site_blend_50,0.6735947179855907,0.6844265552431601,0.6844265552431601,0.010831837257569421,0.010831837257569421
35,99,global_accuracy,fedavg,cross_site_blend_50,cross_site_blend_50,0.5261176470588236,0.5317647058823529,0.5317647058823529,0.005647058823529338,0.005647058823529338
35,99,macro_f1,fedavg,cross_site_blend_50,cross_site_blend_50,0.463999570097109,0.4644916804759779,0.4644916804759779,0.0004921103788688708,0.0004921103788688708
45,123,global_qwk,fedavg,cross_site_blend_50,cross_site_blend_50,0.6902870340324374,0.707061220871747,0.707061220871747,0.016774186839309646,0.016774186839309646
45,123,worst_site_qwk,fedavg,cross_site_blend_50,cross_site_blend_50,0.6254218443106734,0.6615898993089597,0.6615898993089597,0.03616805499828635,0.03616805499828635
45,123,mean_site_qwk,fedavg,cross_site_blend_50,cross_site_blend_50,0.6799472949439509,0.7035834199652753,0.7035834199652753,0.023636125021324395,0.023636125021324395
45,123,global_accuracy,fedavg,cross_site_blend_50,cross_site_blend_50,0.5223529411764706,0.5392941176470588,0.5392941176470588,0.016941176470588237,0.016941176470588237
45,123,macro_f1,fedavg,cross_site_blend_50,cross_site_blend_50,0.4469779926237745,0.4742390652238759,0.4742390652238759,0.027261072600101355,0.027261072600101355
45,2025,global_qwk,fedavg,cross_site_blend_50,cross_site_blend_50,0.6779709780399036,0.6690279254939973,0.6690279254939973,-0.008943052545906327,-0.008943052545906327
45,2025,worst_site_qwk,fedavg,cross_site_blend_50,cross_site_blend_50,0.6460055680850161,0.6392618611327792,0.6392618611327792,-0.006743706952236916,-0.006743706952236916
45,2025,mean_site_qwk,fedavg,cross_site_blend_50,cross_site_blend_50,0.683605851259627,0.6804164160404496,0.6804164160404496,-0.003189435219177472,-0.003189435219177472
45,2025,global_accuracy,fedavg,cross_site_blend_50,cross_site_blend_50,0.5355294117647059,0.5298823529411765,0.5298823529411765,-0.0056470588235294494,-0.0056470588235294494
45,2025,macro_f1,fedavg,cross_site_blend_50,cross_site_blend_50,0.4689681800995993,0.4590766702467819,0.4590766702467819,-0.009891509852817393,-0.009891509852817393
45,42,global_qwk,fedavg,cross_site_blend_50,cross_site_blend_50,0.6754925326756467,0.6877803610395672,0.6877803610395672,0.012287828363920505,0.012287828363920505
45,42,worst_site_qwk,fedavg,cross_site_blend_50,cross_site_blend_50,0.6365655682398987,0.6568988597254681,0.6568988597254681,0.020333291485569394,0.020333291485569394
45,42,mean_site_qwk,fedavg,cross_site_blend_50,cross_site_blend_50,0.6912462456145598,0.7000170727688022,0.7000170727688022,0.008770827154242378,0.008770827154242378
45,42,global_accuracy,fedavg,cross_site_blend_50,cross_site_blend_50,0.5388235294117647,0.540235294117647,0.540235294117647,0.0014117647058823346,0.0014117647058823346
45,42,macro_f1,fedavg,cross_site_blend_50,cross_site_blend_50,0.4723481986499513,0.4767830643981876,0.4767830643981876,0.004434865748236261,0.004434865748236261
45,7,global_qwk,fedavg,cross_site_blend_50,cross_site_blend_50,0.6863760977764747,0.6977612755536045,0.6977612755536045,0.011385177777129774,0.011385177777129774
45,7,worst_site_qwk,fedavg,cross_site_blend_50,cross_site_blend_50,0.6555806196618275,0.6696395610570436,0.6696395610570436,0.014058941395216129,0.014058941395216129
